epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,92.113,0.70239,1.46365,0.93046,0.9617,0.9376,0.97344,0.80187,0.60659,0.77684,0.88007,0.000553082,0.000553082,0.000553082
2,181.113,0.71695,0.83321,0.93974,0.94261,0.94749,0.97407,0.78909,0.68744,0.61238,0.93976,0.0010868,0.0010868,0.0010868
3,269.043,0.71664,0.66379,0.94509,0.92625,0.95732,0.95961,0.77283,0.638,0.5696,0.91761,0.0015985,0.0015985,0.0015985
4,356.526,0.6875,0.55991,0.93868,0.96246,0.95383,0.98093,0.82061,0.59791,0.4651,0.90332,0.00156798,0.00156798,0.00156798
5,442.548,0.67308,0.51709,0.93046,0.96162,0.96548,0.98479,0.83509,0.57895,0.42478,0.89802,0.00153497,0.00153497,0.00153497
6,530.637,0.64814,0.48174,0.92609,0.95958,0.96214,0.98084,0.8388,0.57447,0.42046,0.89962,0.00150197,0.00150197,0.00150197
7,616.107,0.63068,0.45762,0.91392,0.96112,0.97329,0.98395,0.84856,0.5519,0.39966,0.88478,0.00146896,0.00146896,0.00146896
8,703.507,0.6308,0.45108,0.91512,0.95635,0.95557,0.97956,0.83021,0.56573,0.42315,0.8956,0.00143595,0.00143595,0.00143595
9,789.064,0.62683,0.44303,0.91469,0.9636,0.97335,0.9853,0.84575,0.55376,0.37152,0.88662,0.00140295,0.00140295,0.00140295
10,875.489,0.61365,0.41609,0.9153,0.96229,0.97695,0.98631,0.85014,0.54304,0.35701,0.87661,0.00136994,0.00136994,0.00136994
11,961.713,0.59785,0.41464,0.90614,0.96698,0.97238,0.98762,0.8616,0.53789,0.35675,0.87651,0.00133693,0.00133693,0.00133693
12,1047.81,0.58898,0.40073,0.9033,0.96325,0.97483,0.98381,0.83438,0.55046,0.38009,0.8778,0.00130393,0.00130393,0.00130393
13,1132.02,0.593,0.39859,0.9078,0.97007,0.98086,0.98611,0.86027,0.52164,0.32645,0.86747,0.00127092,0.00127092,0.00127092
14,1218.43,0.58641,0.38162,0.89545,0.97131,0.97453,0.98703,0.86978,0.50684,0.32369,0.86624,0.00123791,0.00123791,0.00123791
15,1304.95,0.58163,0.38695,0.89879,0.96875,0.97383,0.9812,0.86085,0.51163,0.33256,0.86136,0.00120491,0.00120491,0.00120491
16,1390.73,0.58107,0.37803,0.89701,0.96753,0.97856,0.9876,0.8718,0.50925,0.32512,0.8658,0.0011719,0.0011719,0.0011719
17,1476.24,0.57621,0.37635,0.89323,0.97978,0.97917,0.98783,0.85511,0.53261,0.32465,0.87135,0.00113889,0.00113889,0.00113889
18,1565.38,0.5601,0.36924,0.89098,0.97237,0.98107,0.98644,0.87002,0.50572,0.31266,0.86626,0.00110589,0.00110589,0.00110589
19,1652.33,0.56254,0.36134,0.89371,0.98021,0.97499,0.98781,0.87172,0.50556,0.31317,0.86351,0.00107288,0.00107288,0.00107288
20,1737.04,0.55204,0.35627,0.89299,0.97001,0.98431,0.98788,0.8758,0.49948,0.30311,0.86424,0.00103987,0.00103987,0.00103987
21,1822.21,0.55476,0.35816,0.89141,0.975,0.97702,0.98788,0.87982,0.49677,0.30772,0.85857,0.00100687,0.00100687,0.00100687
22,1907.76,0.54403,0.3488,0.88967,0.97262,0.97171,0.98839,0.87769,0.49288,0.29686,0.85281,0.000973861,0.000973861,0.000973861
23,1994.18,0.55294,0.34797,0.88881,0.97408,0.97818,0.98488,0.87688,0.48339,0.28685,0.85741,0.000940855,0.000940855,0.000940855
24,2079.51,0.54212,0.34542,0.88683,0.97289,0.98396,0.98526,0.87365,0.49015,0.29775,0.85429,0.000907848,0.000907848,0.000907848
25,2165.1,0.53656,0.33525,0.88406,0.97326,0.98343,0.98633,0.88065,0.47471,0.29393,0.85272,0.000874842,0.000874842,0.000874842
26,2251,0.53097,0.33352,0.88367,0.97155,0.98227,0.98665,0.87474,0.48921,0.29213,0.85479,0.000841835,0.000841835,0.000841835
27,2336.42,0.52628,0.33225,0.87999,0.97277,0.98331,0.98696,0.87931,0.48749,0.28519,0.84804,0.000808828,0.000808828,0.000808828
28,2422.7,0.52752,0.32626,0.87798,0.97793,0.975,0.98819,0.88148,0.4826,0.28846,0.84871,0.000775822,0.000775822,0.000775822
29,2510.04,0.5243,0.32778,0.8817,0.97513,0.97982,0.98823,0.87833,0.47908,0.29027,0.85343,0.000742815,0.000742815,0.000742815
30,2596.55,0.51738,0.32343,0.8787,0.97481,0.97982,0.98876,0.88997,0.46905,0.27675,0.84875,0.000709809,0.000709809,0.000709809
31,2683.12,0.51997,0.31558,0.87715,0.97636,0.97729,0.98896,0.88534,0.48301,0.28895,0.84859,0.000676802,0.000676802,0.000676802
32,2769.28,0.51767,0.31363,0.88258,0.97478,0.98247,0.98733,0.88623,0.46606,0.28037,0.84863,0.000643795,0.000643795,0.000643795
33,2855.93,0.50271,0.31239,0.87816,0.97162,0.97852,0.98786,0.88655,0.48086,0.28364,0.85257,0.000610789,0.000610789,0.000610789
34,2942.8,0.50498,0.31195,0.87781,0.96789,0.9805,0.98695,0.88065,0.47313,0.27208,0.85393,0.000577782,0.000577782,0.000577782
35,3029.91,0.50451,0.30538,0.87178,0.97036,0.98281,0.98633,0.88744,0.46192,0.2653,0.84435,0.000544776,0.000544776,0.000544776
36,3118.74,0.49818,0.30056,0.87156,0.96738,0.98406,0.98752,0.88374,0.4725,0.26693,0.8513,0.000511769,0.000511769,0.000511769
37,3205.63,0.49676,0.2975,0.87125,0.97483,0.98422,0.98866,0.89182,0.45342,0.25678,0.84378,0.000478762,0.000478762,0.000478762
38,3292.37,0.48767,0.28913,0.86809,0.97602,0.98514,0.98705,0.88846,0.46302,0.25867,0.84467,0.000445756,0.000445756,0.000445756
39,3380.53,0.48467,0.28722,0.86596,0.97676,0.9825,0.98963,0.89568,0.45611,0.25369,0.83987,0.000412749,0.000412749,0.000412749
40,3468.12,0.48691,0.28854,0.86787,0.97558,0.98175,0.98764,0.89392,0.45412,0.25605,0.84499,0.000379743,0.000379743,0.000379743
41,3555.51,0.44193,0.25622,0.83966,0.97247,0.98257,0.98775,0.89553,0.45453,0.26387,0.84085,0.000346736,0.000346736,0.000346736
42,3640.66,0.44202,0.25146,0.83962,0.97497,0.98278,0.98907,0.89321,0.4555,0.26012,0.84262,0.000313729,0.000313729,0.000313729
43,3724.74,0.43458,0.24287,0.83851,0.97459,0.98521,0.98915,0.90103,0.44959,0.25119,0.83739,0.000280723,0.000280723,0.000280723
44,3808.01,0.43083,0.2436,0.83216,0.97332,0.98839,0.98852,0.89949,0.44909,0.24985,0.83679,0.000247716,0.000247716,0.000247716
45,3892.56,0.42867,0.23989,0.83264,0.97605,0.98028,0.98973,0.90482,0.44963,0.25018,0.83678,0.00021471,0.00021471,0.00021471
46,3976.54,0.42294,0.23457,0.83236,0.97828,0.97916,0.98857,0.90227,0.44529,0.24691,0.83762,0.000181703,0.000181703,0.000181703
47,4060.37,0.41816,0.22917,0.83272,0.9791,0.9813,0.9869,0.9017,0.43857,0.2424,0.83422,0.000148696,0.000148696,0.000148696
48,4144.11,0.41176,0.22401,0.82579,0.96965,0.98952,0.98757,0.9045,0.44141,0.24643,0.83571,0.00011569,0.00011569,0.00011569
49,4228.53,0.41069,0.22129,0.82658,0.97582,0.98444,0.98862,0.90524,0.43632,0.24081,0.83292,8.26832e-05,8.26832e-05,8.26832e-05
50,4312.89,0.40618,0.21915,0.82782,0.97153,0.98727,0.98976,0.90656,0.43496,0.23789,0.83302,4.96766e-05,4.96766e-05,4.96766e-05
